time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.pulse,.position,.velocity,.torque
2020/05/26/01:50:21.454416,1,1590425421,408479928,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:21.501119,2,1590425421,454276084,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:21.546759,3,1590425421,500864982,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:21.593361,4,1590425421,546554088,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:21.637640,5,1590425421,593206882,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:21.682122,6,1590425421,637406110,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:21.728145,7,1590425421,682121992,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:21.774257,8,1590425421,728101015,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:21.819113,9,1590425421,774116039,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:21.863617,10,1590425421,819117069,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:21.911087,11,1590425421,863569021,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:21.955812,12,1590425421,911027908,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:22.007874,13,1590425421,955648899,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:22.045976,14,1590425422,7694005,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:22.090279,15,1590425422,45706033,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:22.135061,16,1590425422,90131998,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:22.181422,17,1590425422,134922027,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:22.227751,18,1590425422,181365013,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:22.271528,19,1590425422,227557897,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:22.317137,20,1590425422,271505117,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:22.364320,21,1590425422,317084074,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:22.406343,22,1590425422,364240884,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:22.453068,23,1590425422,406322956,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:22.499778,24,1590425422,453001022,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:22.544174,25,1590425422,499774932,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:22.590282,26,1590425422,543950080,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
2020/05/26/01:50:22.637544,27,1590425422,590060949,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(9e-06, -0.003758, 0.000276, 0.004673, 0.000583, 0.001881, -0.000138)"
