time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.pulse,.position,.velocity,.torque
2020/05/26/02:03:43.636801,612,1590426223,582103967,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.072, 0.0)"
2020/05/26/02:03:43.692307,613,1590426223,636660099,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.072, 0.0)"
2020/05/26/02:03:43.747838,614,1590426223,692404985,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.072, 0.0)"
2020/05/26/02:03:43.803605,615,1590426223,747912883,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.072, 0.0)"
2020/05/26/02:03:43.857282,616,1590426223,803401947,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.072, 0.0)"
2020/05/26/02:03:43.911900,617,1590426223,857346057,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.072, 0.0)"
2020/05/26/02:03:43.966715,618,1590426223,911861896,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.072, 0.0)"
2020/05/26/02:03:44.022654,619,1590426223,966701984,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.072, 0.0)"
2020/05/26/02:03:44.077868,620,1590426224,22720098,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.072, 0.0)"
2020/05/26/02:03:44.132394,621,1590426224,77806949,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.072, 0.0)"
2020/05/26/02:03:44.187729,622,1590426224,132220983,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.072, 0.0)"
2020/05/26/02:03:44.242862,623,1590426224,187726974,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.0756, 0.0)"
2020/05/26/02:03:44.297938,624,1590426224,242959976,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.0756, 0.0)"
2020/05/26/02:03:44.353991,625,1590426224,297890901,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.0756, 0.0)"
2020/05/26/02:03:44.409224,626,1590426224,354208946,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.0756, 0.0)"
2020/05/26/02:03:44.465643,627,1590426224,409502983,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.0756, 0.0)"
2020/05/26/02:03:44.521957,628,1590426224,465563058,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.0756, 0.0)"
2020/05/26/02:03:44.576578,629,1590426224,521961927,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.01, 0.2484, -0.0324, 0.0756, 0.0)"
