time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2020/05/26/02:03:43.593665,40699,1590426223,593470172,robotiq_ft_frame_id,-10.6999998093,239.220001221,4.26999998093,5.22700023651,2.13199996948,1.3259999752
2020/05/26/02:03:43.610113,40700,1590426223,609885292,robotiq_ft_frame_id,-10.6800003052,239.270004272,4.15000009537,5.22900009155,2.13400006294,1.3259999752
2020/05/26/02:03:43.626422,40701,1590426223,626305702,robotiq_ft_frame_id,-10.6400003433,239.320007324,4.17000007629,5.23000001907,2.13400006294,1.3259999752
2020/05/26/02:03:43.642817,40702,1590426223,642631895,robotiq_ft_frame_id,-10.6599998474,239.369995117,4.23999977112,5.23299980164,2.132999897,1.3259999752
2020/05/26/02:03:43.659126,40703,1590426223,658929480,robotiq_ft_frame_id,-10.6099996567,239.320007324,4.15999984741,5.23000001907,2.13199996948,1.32500004768
2020/05/26/02:03:43.675431,40704,1590426223,675215786,robotiq_ft_frame_id,-10.6199998856,239.320007324,4.21999979019,5.23000001907,2.132999897,1.3259999752
2020/05/26/02:03:43.691680,40705,1590426223,691514327,robotiq_ft_frame_id,-10.779999733,239.270004272,4.23000001907,5.22800016403,2.13499999046,1.32500004768
2020/05/26/02:03:43.704002,40706,1590426223,703806399,robotiq_ft_frame_id,-10.8000001907,239.270004272,4.19000005722,5.22900009155,2.13700008392,1.32500004768
2020/05/26/02:03:43.720378,40707,1590426223,720140885,robotiq_ft_frame_id,-10.6099996567,239.190002441,4.21000003815,5.22800016403,2.13199996948,1.32700002193
2020/05/26/02:03:43.736785,40708,1590426223,736533918,robotiq_ft_frame_id,-10.6400003433,239.240005493,4.25,5.23000001907,2.13100004196,1.32799994946
2020/05/26/02:03:43.753077,40709,1590426223,752930495,robotiq_ft_frame_id,-10.720000267,239.320007324,4.17000007629,5.23000001907,2.13499999046,1.3259999752
2020/05/26/02:03:43.769502,40710,1590426223,769320940,robotiq_ft_frame_id,-10.6899995804,239.289993286,4.21000003815,5.22800016403,2.13499999046,1.32500004768
2020/05/26/02:03:43.785881,40711,1590426223,785715304,robotiq_ft_frame_id,-10.7100000381,239.25,4.25,5.22599983215,2.13400006294,1.3259999752
2020/05/26/02:03:43.802339,40712,1590426223,802116656,robotiq_ft_frame_id,-10.6999998093,239.259994507,4.21999979019,5.22800016403,2.13599991798,1.3259999752
2020/05/26/02:03:43.818651,40713,1590426223,818484041,robotiq_ft_frame_id,-10.7399997711,239.309997559,4.19999980927,5.23000001907,2.13599991798,1.32700002193
2020/05/26/02:03:43.835034,40714,1590426223,834870607,robotiq_ft_frame_id,-10.6599998474,239.289993286,4.21999979019,5.22800016403,2.13199996948,1.32799994946
2020/05/26/02:03:43.851395,40715,1590426223,851260689,robotiq_ft_frame_id,-10.6700000763,239.270004272,4.28000020981,5.22700023651,2.132999897,1.32700002193
2020/05/26/02:03:43.863721,40716,1590426223,863550465,robotiq_ft_frame_id,-10.6800003052,239.270004272,4.17999982834,5.22800016403,2.13400006294,1.32799994946
2020/05/26/02:03:43.880170,40717,1590426223,879948404,robotiq_ft_frame_id,-10.6899995804,239.270004272,4.17999982834,5.22800016403,2.13499999046,1.32899999619
2020/05/26/02:03:43.896410,40718,1590426223,896262443,robotiq_ft_frame_id,-10.6499996185,239.259994507,4.15999984741,5.22900009155,2.13199996948,1.32700002193
2020/05/26/02:03:43.912700,40719,1590426223,912545600,robotiq_ft_frame_id,-10.6700000763,239.270004272,4.19000005722,5.22800016403,2.132999897,1.3259999752
2020/05/26/02:03:43.929131,40720,1590426223,928903745,robotiq_ft_frame_id,-10.6899995804,239.270004272,4.19999980927,5.22900009155,2.13499999046,1.32700002193
2020/05/26/02:03:43.945553,40721,1590426223,945309117,robotiq_ft_frame_id,-10.6999998093,239.25,4.30999994278,5.22499990463,2.132999897,1.32700002193
2020/05/26/02:03:43.961837,40722,1590426223,961638883,robotiq_ft_frame_id,-10.7299995422,239.339996338,4.15000009537,5.23000001907,2.13499999046,1.3259999752
2020/05/26/02:03:43.978164,40723,1590426223,977982190,robotiq_ft_frame_id,-10.6800003052,239.279998779,4.13000011444,5.22900009155,2.13400006294,1.32799994946
2020/05/26/02:03:43.994613,40724,1590426223,994379574,robotiq_ft_frame_id,-10.720000267,239.330001831,4.23999977112,5.23000001907,2.13400006294,1.3259999752
2020/05/26/02:03:44.010966,40725,1590426224,10688991,robotiq_ft_frame_id,-10.7399997711,239.350006104,4.13000011444,5.23000001907,2.13599991798,1.3259999752
2020/05/26/02:03:44.027154,40726,1590426224,27004227,robotiq_ft_frame_id,-10.7299995422,239.36000061,4.09999990463,5.22900009155,2.13499999046,1.3259999752
2020/05/26/02:03:44.039413,40727,1590426224,39275394,robotiq_ft_frame_id,-10.6000003815,239.350006104,4.21999979019,5.22800016403,2.13000011444,1.32400000095
2020/05/26/02:03:44.055726,40728,1590426224,55564200,robotiq_ft_frame_id,-10.6400003433,239.419998169,4.25,5.22900009155,2.13100004196,1.32400000095
2020/05/26/02:03:44.072048,40729,1590426224,71862412,robotiq_ft_frame_id,-10.7899999619,239.270004272,4.17000007629,5.22900009155,2.13599991798,1.32899999619
2020/05/26/02:03:44.088358,40730,1590426224,88177560,robotiq_ft_frame_id,-10.6899995804,239.270004272,4.19999980927,5.22900009155,2.13499999046,1.3259999752
2020/05/26/02:03:44.104614,40731,1590426224,104477901,robotiq_ft_frame_id,-10.7100000381,239.220001221,4.15999984741,5.22800016403,2.13400006294,1.3259999752
2020/05/26/02:03:44.120915,40732,1590426224,120763359,robotiq_ft_frame_id,-10.7299995422,239.199996948,4.17999982834,5.22800016403,2.13499999046,1.32700002193
2020/05/26/02:03:44.137286,40733,1590426224,137069823,robotiq_ft_frame_id,-10.7399997711,239.210006714,4.15999984741,5.22700023651,2.13599991798,1.32700002193
2020/05/26/02:03:44.153612,40734,1590426224,153435106,robotiq_ft_frame_id,-10.6499996185,239.300003052,4.21999979019,5.22700023651,2.13100004196,1.32799994946
2020/05/26/02:03:44.169909,40735,1590426224,169771823,robotiq_ft_frame_id,-10.6300001144,239.320007324,4.21999979019,5.23000001907,2.132999897,1.3259999752
2020/05/26/02:03:44.186306,40736,1590426224,186127672,robotiq_ft_frame_id,-10.6700000763,239.270004272,4.21999979019,5.22900009155,2.13400006294,1.32700002193
2020/05/26/02:03:44.202747,40737,1590426224,202528202,robotiq_ft_frame_id,-10.720000267,239.190002441,4.19999980927,5.22800016403,2.13400006294,1.32700002193
2020/05/26/02:03:44.219150,40738,1590426224,218922528,robotiq_ft_frame_id,-10.7700004578,239.240005493,4.19000005722,5.22900009155,2.13499999046,1.32700002193
2020/05/26/02:03:44.231348,40739,1590426224,231202933,robotiq_ft_frame_id,-10.6300001144,239.199996948,4.26999998093,5.22900009155,2.132999897,1.32700002193
2020/05/26/02:03:44.247736,40740,1590426224,247552138,robotiq_ft_frame_id,-10.6700000763,239.330001831,4.34000015259,5.22900009155,2.13100004196,1.32799994946
2020/05/26/02:03:44.264099,40741,1590426224,263861860,robotiq_ft_frame_id,-10.7100000381,239.309997559,4.23999977112,5.23000001907,2.132999897,1.32700002193
2020/05/26/02:03:44.280428,40742,1590426224,280209615,robotiq_ft_frame_id,-10.6999998093,239.199996948,4.19000005722,5.22800016403,2.132999897,1.3259999752
2020/05/26/02:03:44.296694,40743,1590426224,296564351,robotiq_ft_frame_id,-10.7600002289,239.240005493,4.21000003815,5.22900009155,2.13400006294,1.32799994946
2020/05/26/02:03:44.313094,40744,1590426224,312920414,robotiq_ft_frame_id,-10.5699996948,239.279998779,4.23000001907,5.22900009155,2.13000011444,1.3259999752
2020/05/26/02:03:44.329440,40745,1590426224,329242269,robotiq_ft_frame_id,-10.6899995804,239.300003052,4.17999982834,5.23000001907,2.132999897,1.32700002193
2020/05/26/02:03:44.345708,40746,1590426224,345565280,robotiq_ft_frame_id,-10.75,239.270004272,4.21999979019,5.23000001907,2.13400006294,1.32700002193
2020/05/26/02:03:44.362159,40747,1590426224,361907764,robotiq_ft_frame_id,-10.7700004578,239.259994507,4.19999980927,5.22900009155,2.13499999046,1.32799994946
2020/05/26/02:03:44.378374,40748,1590426224,378226659,robotiq_ft_frame_id,-10.7299995422,239.210006714,4.15000009537,5.22800016403,2.13499999046,1.3259999752
2020/05/26/02:03:44.394686,40749,1590426224,394515675,robotiq_ft_frame_id,-10.6499996185,239.259994507,4.17999982834,5.22900009155,2.13199996948,1.32799994946
2020/05/26/02:03:44.406977,40750,1590426224,406779524,robotiq_ft_frame_id,-10.6599998474,239.289993286,4.23000001907,5.22700023651,2.132999897,1.32799994946
2020/05/26/02:03:44.423337,40751,1590426224,423122683,robotiq_ft_frame_id,-10.6599998474,239.289993286,4.23000001907,5.22700023651,2.132999897,1.32799994946
2020/05/26/02:03:44.439609,40752,1590426224,439436458,robotiq_ft_frame_id,-10.7700004578,239.279998779,4.19999980927,5.22900009155,2.13599991798,1.3259999752
2020/05/26/02:03:44.455868,40753,1590426224,455730778,robotiq_ft_frame_id,-10.7399997711,239.210006714,4.23000001907,5.22800016403,2.13599991798,1.3259999752
2020/05/26/02:03:44.472294,40754,1590426224,472054313,robotiq_ft_frame_id,-10.6300001144,239.199996948,4.19999980927,5.22800016403,2.13400006294,1.32400000095
2020/05/26/02:03:44.488647,40755,1590426224,488372232,robotiq_ft_frame_id,-10.6000003815,239.210006714,4.19999980927,5.22700023651,2.13199996948,1.3259999752
2020/05/26/02:03:44.504864,40756,1590426224,504681062,robotiq_ft_frame_id,-10.6899995804,239.350006104,4.21999979019,5.23000001907,2.13199996948,1.32500004768
2020/05/26/02:03:44.521181,40757,1590426224,520982386,robotiq_ft_frame_id,-10.6999998093,239.270004272,4.17999982834,5.22800016403,2.13499999046,1.3259999752
2020/05/26/02:03:44.537491,40758,1590426224,537298861,robotiq_ft_frame_id,-10.7399997711,239.330001831,4.15999984741,5.23000001907,2.13700008392,1.32500004768
2020/05/26/02:03:44.553803,40759,1590426224,553612090,robotiq_ft_frame_id,-10.6999998093,239.330001831,4.23000001907,5.23099994659,2.13199996948,1.3259999752
2020/05/26/02:03:44.570082,40760,1590426224,569916753,robotiq_ft_frame_id,-10.6999998093,239.320007324,4.19999980927,5.23199987411,2.132999897,1.32500004768
2020/05/26/02:03:44.586413,40761,1590426224,586213388,robotiq_ft_frame_id,-10.7299995422,239.229995728,4.13999986649,5.22700023651,2.13499999046,1.32799994946
2020/05/26/02:03:44.598721,40762,1590426224,598467772,robotiq_ft_frame_id,-10.6800003052,239.259994507,4.23000001907,5.22800016403,2.132999897,1.32700002193
2020/05/26/02:03:44.615029,40763,1590426224,614855397,robotiq_ft_frame_id,-10.6800003052,239.279998779,4.21999979019,5.22800016403,2.13400006294,1.32700002193
2020/05/26/02:03:44.631347,40764,1590426224,631199150,robotiq_ft_frame_id,-10.6800003052,239.259994507,4.19999980927,5.22800016403,2.13400006294,1.32799994946
2020/05/26/02:03:44.647722,40765,1590426224,647549017,robotiq_ft_frame_id,-10.7299995422,239.199996948,4.21000003815,5.22700023651,2.13499999046,1.32700002193
2020/05/26/02:03:44.664068,40766,1590426224,663868192,robotiq_ft_frame_id,-10.6599998474,239.229995728,4.21000003815,5.23000001907,2.13199996948,1.32799994946
2020/05/26/02:03:44.680340,40767,1590426224,680175076,robotiq_ft_frame_id,-10.6899995804,239.270004272,4.17999982834,5.22800016403,2.13499999046,1.32799994946
2020/05/26/02:03:44.696720,40768,1590426224,696523294,robotiq_ft_frame_id,-10.6700000763,239.259994507,4.17999982834,5.22900009155,2.132999897,1.32799994946
2020/05/26/02:03:44.713143,40769,1590426224,712979858,robotiq_ft_frame_id,-10.6499996185,239.289993286,4.19000005722,5.22700023651,2.13100004196,1.32700002193
2020/05/26/02:03:44.729608,40770,1590426224,729406608,robotiq_ft_frame_id,-10.6800003052,239.259994507,4.15000009537,5.22900009155,2.13400006294,1.32700002193
2020/05/26/02:03:44.745989,40771,1590426224,745791095,robotiq_ft_frame_id,-10.6999998093,239.199996948,4.17999982834,5.22800016403,2.132999897,1.32700002193
2020/05/26/02:03:44.758321,40772,1590426224,758093609,robotiq_ft_frame_id,-10.5699996948,239.229995728,4.26000022888,5.22900009155,2.13100004196,1.32899999619
2020/05/26/02:03:44.774573,40773,1590426224,774410050,robotiq_ft_frame_id,-10.6099996567,239.320007324,4.28000020981,5.23000001907,2.13199996948,1.32799994946
2020/05/26/02:03:44.790846,40774,1590426224,790688212,robotiq_ft_frame_id,-10.6400003433,239.270004272,4.17999982834,5.22900009155,2.13100004196,1.32799994946
2020/05/26/02:03:44.807225,40775,1590426224,807018806,robotiq_ft_frame_id,-10.6700000763,239.229995728,4.19000005722,5.22800016403,2.13000011444,1.32899999619
2020/05/26/02:03:44.823619,40776,1590426224,823390797,robotiq_ft_frame_id,-10.6499996185,239.240005493,4.26999998093,5.22800016403,2.13100004196,1.32799994946
2020/05/26/02:03:44.839889,40777,1590426224,839726017,robotiq_ft_frame_id,-10.7100000381,239.210006714,4.19999980927,5.22700023651,2.13400006294,1.3259999752
2020/05/26/02:03:44.856188,40778,1590426224,856025311,robotiq_ft_frame_id,-10.7100000381,239.179992676,4.26000022888,5.22800016403,2.13400006294,1.32700002193
2020/05/26/02:03:44.872622,40779,1590426224,872340576,robotiq_ft_frame_id,-10.6400003433,239.300003052,4.30999994278,5.22499990463,2.13100004196,1.32700002193
